Category,Description / Most Frequent Examples,Female Mean,Male Mean,T-Stat,P-Value
emo_anger,"hate, mad, angry, frustr*",0.3527278998718833,0.2147906379616827,2.957398728090761,0.0031043715946808
lack,"don’t have, didn’t have, *less, hungry",0.2963077756972504,0.3939625715978668,-2.056596697030885,0.0397314374883558
power,"own, order, allow, power",3.101550704641766,3.576956349990124,-3.122760701352916,0.0017929052465916
fulfill,"enough, full, complete, extra",0.9471597516507342,1.6703683586806244,-6.4444789872550805,1.1739417344648047e-10
reward,"opportun*, win, gain*, benefit*",0.2009559475707105,0.4021686746987951,-5.1859607554642775,2.1607862368560818e-07
prosocial,"care, help, thank, please",2.17105449886666,2.5813386332214097,-3.235316079590693,0.001216069487941
moral,"wrong, honor*, deserv*, judge",0.6000906671922734,0.4400004937783922,2.36470569446015,0.0180492120576805
polite,"thank, please, thanks, good morning",0.7311564994579679,0.5999155638949241,2.2398136120986414,0.0251085823688656
money,"business*, pay*, price*, market*",8.734644229821622,9.694169958522616,-3.625794033860422,0.0002884283948267
home,"home, house, room, bed",2.021550211885286,1.580458720126407,3.6050965570131854,0.000312420276071
